Tool,Score,Description,URL,bio.tools URL
clinical-sentences,0.167,"Recurrent Deep Network Models for Clinical NLP Tasks | Sentence detection for clinical notes | Training and evaluation expects .labels/.txt file pairs where .labels is a file with lines of tokens in space separated format as shown below, and .txt is the plain text of the document | [segment] [start index] [end index] [tag] [is_identifier] [token text]",,https://bio.tools/clinical-sentences
carmo,0.167,"Web-based platform providing comprehensive annotations for multi-omics data, including transcriptomic data sets, epi-genomic modification sites, SNPs from genome re-sequencing, and the large gene lists derived from these omics studies.",http://www.mybiosoftware.com/carmo-comprehensive-annotation-of-rice-multi-omics.html,https://bio.tools/carmo
pgxmine,0.167,This is the codebase for the PGxMine project to using text-mining to identify papers for curation into PharmGKB. It is a Python3 project that makes use of the Kindred relation classifier along with the PubRunner project to run tools across PubMed and accessible PubMed Central.,https://github.com/jakelever/pgxmine,https://bio.tools/pgxmine
litminer,0.167,"Literature data mining tool that is based on the annotation of key terms in article abstracts followed by statistical co-citation analysis of annotated key terms in order to predict relationships between genes, compounds, diseases and phenotypes, and tissues and organs.",,https://bio.tools/litminer
cargo,0.167,"Portal that uses widgets to allow users to mine literature using iHOP, retrieve disease information from OMIM, visualize 3D SNPs, query protein interactions, and view summarized gene annotation information for cancer related genes in human.",,https://bio.tools/cargo
descseq,0.167,Alter the name or description of a sequence.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/descseq
extract,0.167,"EXTRACT identifies genes/proteins, chemical compounds, organisms, environments, tissues, diseases, phenotypes and Gene Ontology terms mentioned in a given piece of text and maps them to their corresponding ontology/taxonomy entries.",,https://bio.tools/extract
pombase,0.167,"Comprehensive online database for fission yeast. Contains annotation of genomic sequence and features, comprehensive manual literature curation, genome-wide data sets, and supports sophisticated user-defined queries.",,https://bio.tools/pombase
tmvar,0.167,Text-mining approach based on conditional random field (CRF) for extracting a wide range of sequence variants in both protein and gene levels according to a standard sequence variants nomenclature developed by the human genome variation society (HGVS).,http://www.mybiosoftware.com/tmvar-text-mining-approach-for-extracting-sequence-variants-in-biomedical-literature.html,https://bio.tools/tmvar
nlp ml,0.167,"Labelling chest x-ray reports using an open-source NLP and ML tool for text data binary classification.

Natural language processing and machine learning of a comma separated value (CSV) file with text data and labels.

nlp_ml is a command line script that performs natural language processing and machine learning of a CSV (comma separated value) file with text data and labels. The CSV file must have the columns 'text' and 'class'. The code randomly generates classification pipelines, performs 10-fold cross validation for assessing model performance on the training dataset, and saves the results to a SQLite database. The code uses the SMOTE oversampler to avoid issues with imbalanced datasets. nlp_ml solves supervised binary classification problems using text data. When generating your CSV file, replace commas with spaces in the elements of the text column prior to saving the file.",,https://bio.tools/nlp ml
vastdb,0.167,An atlas of alternative splicing profiles in vertebrate cell and tissue types,,https://bio.tools/vastdb
workflow4metabolomics,0.167,"First fully open-source and collaborative online platform for computational metabolomics. It includes preprocessing, normalization, quality control, statistical analysis of LC/MS, FIA-MS, GC/MS and NMR data.",https://workflow4metabolomics.usegalaxy.fr,https://bio.tools/workflow4metabolomics
secstrannotator,0.167,Annotation of secondary structure elements in proteins.,,https://bio.tools/secstrannotator
compendium of protein lysine acetylation (cpla),0.167,Resource of manually curated lysine acetylated substrates with their sites.,,https://bio.tools/compendium of protein lysine acetylation (cpla)
rbbt,0.167,"Rbbt stands for “Ruby Bioinformatics Toolkit”. It is a framework for software development in bioinformatics. It covers three aspects:.

Workflow wrapping the TF text-mining results from https://github.com/fnl plus other databases.

High Throughput Sequencing related functionalities.

Rbbt wrapper for the Variant Effect Predictor. Auto-downloads and installs the software.",http://mikisvaz.github.io/rbbt/,https://bio.tools/rbbt
trifle,0.167,TRiFLe is a program for simulating TRFs and identifying species by TRF profiling,,https://bio.tools/trifle
sevenc,0.167,"Chromatin looping is an essential feature of eukaryotic genomes and can bring regulatory sequences, such as enhancers or transcription factor binding sites, in the close physical proximity of regulated target genes. This package uses protein binding signals from ChIP-seq and sequence motif information to predict chromatin looping events.",https://github.com/ibn-salem/sevenC/,https://bio.tools/sevenc
guide,0.167,"Guide (Genome Informatics Data Explorer) is a desktop application designed for the bench biologists to analyse RNA-Seq and microarray expression data. It performs gene-centric analyses such as differential expression and pathways using well-established R modules. It also integrates useful data from multiple sources, such as gene annotation and orthologue data, and enables editing of R commands to customise the analyses for advanced users.",http://www.mybiosoftware.com/guide-0-3-1-application-for-gene-expression-analysis.html,https://bio.tools/guide
hare,0.167,"A Flexible Highlighting Annotator for Ranking and Exploration.

HARE: Highlighting Annotator for Ranking and Exploration.

This open-source software package implements two components of a pipeline for identifying information relevant to a specific topic in text documents:.",,https://bio.tools/hare
cogs,0.167,"Collections of Clusters of Orthologous Genes provide indispensable tools for comparative genomic analysis, evolutionary reconstruction and functional annotation of new genomes.",http://www.mybiosoftware.com/cogs-201204-phylogenetic-classification-proteins-encoded-complete-genomes.html,https://bio.tools/cogs
delayedarray,0.167,"Wrapping an array-like object in a DelayedArray object allows one to perform common array operations on it without loading the object in memory. In order to reduce memory usage and optimize performance, operations on the object are either delayed or executed using a block processing mechanism. Note that this also works on in-memory array-like objects like DataFrame objects, Matrix objects, and ordinary arrays and data frames.",http://bioconductor.org/packages/DelayedArray/,https://bio.tools/delayedarray
ukpmc,0.167,"UK PubMed Central is a full-text article database that extends the functionality of the original PubMed Central (PMC) repository. Now includes both a UKPMC and PubMed search, as well as access to other records such as Agricola, Patents and recent biomedical theses. Furthermore, UKPMC contains 'Cited By' information as an alternative way to navigate the literature and has incorporated text-mining approaches to semantically enrich content and integrate it with related database resources.",,https://bio.tools/ukpmc
genome3d,0.167,"integrating a collaborative data pipeline to expand the depth and breadth of consensus protein structure annotation.

Genome3D Annotating Genomes with Structures.

Search Genome3D find structural annotations for your proteins.

Tool to interact with the Genome3D API.

Genome3D provides consensus structural annotations and 3D models for sequences from model organisms, including human. These data are generated by several UK based resources in the Genome3D consortium: SCOP, CATH, SUPERFAMILY, Gene3D, FUGUE, THREADER, PHYRE.

The tool genome3d-api aims to make communicating with the Genome3D API as convenient as possible. However, since the API has been defined using OpenAPI standards, you should be able to point any OpenAPI compatible client to the following specification:",https://uclorengogroup.github.io/genome3d-openapi-client/,https://bio.tools/genome3d
pint,0.167,Pathway INtegration Tool (PINT) allows integration and annotation of systems biology markup language (SBML) files from a variety of sources. Gene list files are also accepted.,,https://bio.tools/pint
hubmed,0.167,"This tool uses information from PubMed's database, provided by the NCBI through the EUtils web service, to produce a search interface focused on browsing, organising and gathering information from the biomedical literature.",,https://bio.tools/hubmed
lipid data analyzer (lda),0.167,The tool enables lipid annotation in high-throughput data derived from chromatography-coupled tandem mass spectrometry.,,https://bio.tools/lipid data analyzer (lda)
gwastools,0.167,"Classes for storing very large GWAS data sets and annotation, and functions for GWAS data cleaning and analysis.",,https://bio.tools/gwastools
keggprofile,0.167,Annotation and visualization tool which integrated the expression profiles and the function annotation in KEGG pathway maps. The multi-types and multi-groups expression data can be visualized in one pathway map. It facilitated more detailed analysis about the specific function changes inner pathway or temporal correlations in different genes and samples.,,https://bio.tools/keggprofile
roma,0.167,A package for the orthology prediction data download from OMA database.,http://bioconductor.org/packages/roma/,https://bio.tools/roma
globalfungi,0.167,"User interface to data from high-throughput sequencing studies of fungal
communities across terrestrial biomes. Includes sequencing data, sample
locations, sample metadata.",https://globalfungi.com/,https://bio.tools/globalfungi
anabel,0.167,A software designed for the analysis of binding curves with which to evaluate the interactions of biomolecules.,https://github.com/SKscience/Anabel,https://bio.tools/anabel
lobstahs,0.167,"Multifunction package for screening, annotation, and putative identification of mass spectral features in large, HPLC-MS lipid datasets. In silico data for a wide range of lipids, oxidized lipids, and oxylipins can be generated from user-supplied structural criteria with a database generation function. It applies these databases to assign putative compound identities to features in any high-mass accuracy dataset that has been processed using xcms and CAMERA.",http://bioconductor.org/packages/LOBSTAHS,https://bio.tools/lobstahs
compartments,0.167,"COMPARTMENTS is a weekly updated web resource that integrates evidence on protein subcellular localization from manually curated literature, high-throughput screens, automatic text mining, and sequence-based prediction methods. We map all evidence to common protein identifiers and Gene Ontology terms, and further unify it by assigning confidence scores that facilitate comparison of the different types and sources of evidence and visualize these scores on a schematic cell.",,https://bio.tools/compartments
npact,0.167,Computational and graphical representation tool for gene identification and sequence annotation. Identifies sequence segments of any length with statistically-significant 3-base compositional periodicities and associated with ORF structures .,http://www.mybiosoftware.com/npact-n-profile-analysis-computational-tool.html,https://bio.tools/npact
mirtex,0.167,Text-mining system that extracts miRNA-gene regulation relations and miRNA-target relations from literature.,http://www.mybiosoftware.com/mirtex-text-mining-system-for-mirna-gene-relation-extraction.html,https://bio.tools/mirtex
mir-prefer,0.167,Uses expression patterns of miRNA and follows the criteria for plant microRNA annotation to accurately predict plant miRNAs from one or more small RNA-Seq data samples of the same species.,http://www.mybiosoftware.com/mir-prefer-0-17-microrna-prediction-from-small-rna-seq-data.html,https://bio.tools/mir-prefer
tableannotator,0.167,Tool for annotating tables written in Java. It uses specific annotation schema we proposed that is able to capture information about functions of a cell and inter-cell relationships. It is a tool for extracting annotations from tables in PMC and DailyMed in XML format.,https://github.com/nikolamilosevic86/TableAnnotator,https://bio.tools/tableannotator
higdb,0.167,"Bacteriological, clinical, genomic and proteomic database of H. influenzae.",,https://bio.tools/higdb
orange,0.167,Open source data visualization and analysis for novice and experts. Data mining through visual programming or Python scripting. Components for machine learning. Add-ons for bioinformatics and text mining. Packed with features for data analytics.,https://github.com/biolab/orange3,https://bio.tools/orange
copheism,0.167,"Simulate phenotypes: continuous, dichotomous and survival for common variants from existing genotype data simulated with some other tool. Add the phenotype to generated genotype data prepared with a genetic simulator. The output of cophesim can be used as a direct input for different genome wide association study tools.",,https://bio.tools/copheism
bsqa,0.167,"Web server that performs integrated text mining for insect biology, covering diverse aspects from molecular interactions of genes to insect behavior. It recognizes a number of entities and relations in Medline documents about the model insect, Drosophila melanogaster.",,https://bio.tools/bsqa
protmapper,0.167,"Assembling a phosphoproteomic knowledge base using ProtMapper to normalize phosphosite information from databases and text mining. 
Map amino acid sites of post-translational modifications from models or data to reference positions.

Code to generate results and figures relevant to the ProtMapper manuscript.

The Protmapper maps references to protein sites to the human reference sequence based on UniProt, PhosphoSitePlus, and manual curation.",https://github.com/johnbachman/protmapper_paper,https://bio.tools/protmapper
snpnotes,0.167,"high-throughput tissue-specific functional annotation of single nucleotide variants.

Tissue-specific variant annotation pipeline.

This pipeline annotates variants based on multiple sources of prior knowledge, including the GWAS literature, tissue-specific open chromatin, tissue-specific modulation of gene expression, and clinical pathogenicity.

To download and prepare annotation files",,https://bio.tools/snpnotes
flowrepositoryr,0.167,This package provides an interface to search and download data and annotations from FlowRepository (flowrepository.org). It uses the FlowRepository programming interface to communicate with a FlowRepository server.,,https://bio.tools/flowrepositoryr
protfus,0.167,"A Comprehensive Method Characterizing Protein-Protein Interactions of Fusion Proteins | A RESOURCE FOR FUSION PROTEINS AND THEIR INTERACTIONS | Milana Frenkel-Morgenstern's Cancer Genomics and BioComputing Lab at Bar-Ilan University, Israel | Result for the search by Unspecified: | Lars Juhl Jensen's Cellular Network Biology Group at The Novo Nordisk Foundation Center for Protein Research, University of Copenhagen, Denmark | ProtFus is a resource that has information about fusion proteins and their interactions, based on a text mining approach. ""Tagging"" is a process of registering the mention of given entities in a particular document | Text mining has been an active research topic for decades; however, it is only fairly recently that biomedical text-mining tools have been developed that make it practically applicable to a wide range of problems",http://protfus.md.biu.ac.il/bin/protfusdb.pl,https://bio.tools/protfus
biocatalogue,0.167,"A universal catalogue of web services for the life sciences. BioCatalogue provides a common interface for registering, browsing and annotating web services to the life science community.",,https://bio.tools/biocatalogue
annotationfilter,0.167,"It provides class and other infrastructure to implement filters for manipulating Bioconductor annotation resources. The filters will be used by ensembldb, Organism.dplyr, and other packages.",https://github.com/Bioconductor/AnnotationFilter,https://bio.tools/annotationfilter
copub,0.167,"Text mining tool for the detection of biomedical terms that co-occur in abstracts with the list of input genes (human, rat, and mouse genes). It also graphically displays differentially expressed genes and over-represented keywords in a network for better visualization of relationships. Version 5.0 uses a new thesauri. It allows for searching of keywords, provides highlighting and sorting mechanisms and statistics. It searches for indirect relations between genes, pathways, drugs and diseases.",,https://bio.tools/copub
fusionanalyser,0.167,"Graphical, event-driven tool dedicated to the identification of driver fusion rearrangements in human cancer through the analysis of paired-end high-throughput transcriptome sequencing data. Requires short, paired-end sequences.",,https://bio.tools/fusionanalyser
defume,0.167,"Assemble Sanger sequencing reads, identify ORFs and blast these as well as annotating them with InterPro.",,https://bio.tools/defume
alvisir,0.167,Text mining tool for extracting information about microbial biodiversity in food.,,https://bio.tools/alvisir
organism.dplyr,0.167,"This package provides an alternative interface to Bioconductor 'annotation' resources, in particular the gene identifier mapping functionality of the 'org' packages (e.g., org.Hs.eg.db) and the genome coordinate functionality of the 'TxDb' packages",http://bioconductor.org/packages/Organism.dplyr/,https://bio.tools/organism.dplyr
hgt-id,0.167,Identifies the integration of viruses into the human genome using the sequencing data.,,https://bio.tools/hgt-id
mbrole,0.167,"Server that performs functional enrichment analysis of a list of chemical compounds derived from a metabolomics experiment, which allows this list to be interpreted in biological terms.",http://www.mybiosoftware.com/mbrole-enrichment-analysis-metabolomic-data.html,https://bio.tools/mbrole
chimera,0.167,"This package facilitates the characterisation of fusion products events. It allows to import fusion data results from the following fusion finders: chimeraScan, bellerophontes, deFuse, FusionFinder, FusionHunter, mapSplice, tophat-fusion, FusionMap, STAR, Rsubread, fusionCatcher.",http://bioconductor.org/packages/chimera/,https://bio.tools/chimera
tromer,0.167,"The transcriptome analyser project aims to provide tools to determine and document all the transcribed parts of a genome. The transcribed parts are defined by analysing experimental evidence, like expressed sequence tags (EST) and other mRNA sequences.",,https://bio.tools/tromer
webapollo,0.167,Browser-based tool for distributed community annotation of sequences.,,https://bio.tools/webapollo
chemdistiller,0.167,Engine for metabolite annotation in mass spectrometry.,,https://bio.tools/chemdistiller
mirnatarbase,0.167,"Updates to the experimentally validated microRNA-target interaction database.

the experimentally validated microRNA-target interactions database.

As a database, miRTarBase has accumulated more than three hundred and sixty thousand miRNA-target interactions (MTIs), which are collected by manually surveying pertinent literature after NLP of the text systematically to filter research articles related to functional studies of miRNAs. Generally, the collected MTIs are validated experimentally by reporter assay, western blot, microarray and next-generation sequencing experiments. While containing the largest amount of validated MTIs, the miRTarBase provides the most updated collection by comparing with other similar, previously developed databases.",,https://bio.tools/mirnatarbase
rlims-p,0.167,"Rule-based text-mining program specifically designed to extract protein phosphorylation information on protein kinase, substrate and phosphorylation sites from biomedical literature.",http://www.mybiosoftware.com/rlims-p-2-0-rule-based-literature-mining-system-for-protein-phosphorylation.html,https://bio.tools/rlims-p
biomodels database,0.167,"Database of annotated published models is a data resource that allows biologists to store, search and retrieve published mathematical models of biological interests. Models present in this database are annotated and linked to relevant data resources, such as publications, databases of compounds and controlled vocabularies, and this modelling formats can be converted, with some of them being available online to be used directly.",,https://bio.tools/biomodels database
clinotator,0.167,"Takes variants as input and queries NCBI eutilities to generate ClinVar Variation Report scoring metrics. The overall goal is to generate annotations of use for given batches of variants to inform clinical interpretation. The metrics include: Clinotator Raw Score, Average Clinical Assertion Age, Clinotator Predicted Significance and eclassification Recommendation.",,https://bio.tools/clinotator
onesense,0.167,"A graphical user interface that facilitates the dimensional reduction method based on the t-distributed stochastic neighbor embedding (t-SNE) algorithm, for categorical analysis of mass cytometry data.",http://bioconductor.org/packages/oneSENSE/,https://bio.tools/onesense
unired,0.167,"UniReD is a Text Mining tool that collects high quality, manually annotated and non-redundant Human or Mouse proteins from UniProtKB/Swiss-Prot (reviewed). Using a combination of publications that are i. manually assigned to each protein by UniProt and ii.automatically calculated (as related documents) by PubMed, UniReD creates clusters of proteins that are putatively functionally related.",,https://bio.tools/unired
bugbuilder,0.167,"BugBuilder is a pipeline for the automated assembly and annotation of microbial genomes from high-throughput sequence data. It is configurable so as not to be tied to any assembler or scaffolder, and is designed to run in a cluster environment facilitating high-throughput processing of genomes.",http://www.mybiosoftware.com/bugbuilder-microbial-genome-assembly.html,https://bio.tools/bugbuilder
ideal,0.167,"Collection of experimentally verified intrinsically disordered proteins (IDPs) or intrinsically disordered regions (IDRs). Manually curated annotations on IDPs in locations, structures, and functional sites such as protein binding regions and posttranslational modification sites.",,https://bio.tools/ideal
causalbuilder,0.167,The causalBuilder is a prototype web application for the curation of molecular interaction causal statements. This interface takes advantage of the VSM framework (https://github.com/vsmjs/) to generate customized VSM-templates for the annotation of specific causal statements. The causal statements generated are compatible with the MI2CAST (Minimum Information about a Molecular Interaction Causal Statement) checklist that is available at https://github.com/MI2CAST/MI2CAST.,https://github.com/MI2CAST/causalBuilder,https://bio.tools/causalbuilder
mpagenomics,0.167,A package for multi-patients analysis of genomic markers. It is devoted to (i) efficient segmentation and (ii) genomic marker selection from multi-patient copy number and SNP data profiles.,http://modal.lille.inria.fr/wikimodal/,https://bio.tools/mpagenomics
mambo,0.167,"MAMBO (Metabolomic Analysis of Metagenomes using fBa and Optimization) is an algorithm which assesses and optimizes correlations between genome-scale, constraint-based metabolic models and microbial abundance profiles obtained from shotgun sequence data.",,https://bio.tools/mambo
aspgd,0.167,"The Aspergillus Genome Database is an online genomics resource for researchers studying the genetics and molecular biology of the Aspergilli. AspGD combines high-quality manual curation of the experimental scientific literature examining the genetics and molecular biology of Aspergilli, cutting-edge comparative genomics approaches to iteratively refine and improve structural gene annotations across multiple Aspergillus species, and web-based research tools for accessing and exploring the data.",,https://bio.tools/aspgd
hlungdb,0.167,"Database with the integration of the lung cancer-related genes, proteins and miRNAs together with the corresponding clinical information. Currently, 2585 genes and 212 miRNA have been collected with the experimental evidences involved in the different stages of lung carcinogenesis through text mining. The results from analysis of transcription factor-binding motifs, the promoters and the SNP sites for each gene are also included. Genes with epigenetic regulation were also included.",,https://bio.tools/hlungdb
association viewer,0.167,AssociationViewer is a Java application used to display SNPs in a genetic context. Supplementary data (such as genes or LD plots) is downloaded from various public data sources on the fly and saved locally in a cache. Custom data can be added as supplementary tracks.,,https://bio.tools/association viewer
omadb,0.167,A package for the orthology prediction data download from OMA database.,http://bioconductor.org/packages/OmaDB/,https://bio.tools/omadb
e3miner,0.167,Web-based text mining tool that extracts and incorporates comprehensive knowledge about ubiquitin-protein ligases (E3) with their underlying mechanisms. This tool integrates available E3 data from the published literature as well as from the biological databases.,,https://bio.tools/e3miner
blood exposome database,0.167,"Generating the Blood Exposome Database Using a Comprehensive Text Mining and Database Fusion Approach | The exposome represents the sum of all exposures during the life-span of an organism (from chemicals to microbes, viruses, radiation and other sources)",https://github.com/barupal/exposome,https://bio.tools/blood exposome database
pannzer,0.167,"Fully automated service for functional annotation of prokaryotic and eukaryotic proteins of unknown function. The tool is designed to predict the functional description (DE), EC numbers and GO classes.",http://www.mybiosoftware.com/pannzer-protein-functional-annotation-server.html,https://bio.tools/pannzer
limtox,0.167,Text mining for toxicology.,https://github.com/inab/etox,https://bio.tools/limtox
terrestrialmetagenomedb,0.167,"a public repository of curated and standardized metadata for terrestrial metagenomes.

Microbiome studies focused on the genetic potential of microbial communities (metagenomics) became standard within microbial ecology. MG-RAST and the Sequence Read Archive (SRA), the two main metagenome repositories, contain over 202 858 public available metagenomes and this number has increased exponentially. However, mining databases can be challenging due to misannotated, misleading and decentralized data. The main goal of TerrestrialMetagenomeDB is to make it easier for scientists to find terrestrial metagenomes of interest that could be compared with novel datasets in meta-analyses. We defined terrestrial metagenomes as those that do not belong to marine environments. Further, we curated the database using text mining to assign potential descriptive keywords that better contextualize environmental aspects of terrestrial metagenomes, such as biomes and materials",,https://bio.tools/terrestrialmetagenomedb
treeio,0.167,"Base classes and functions for parsing and exporting phylogenetic trees. This package supports parsing analysis findings from commonly used software packages, allows linking external data to phylogeny and merging tree data obtained from different sources. It also supports exporting phylogenetic tree with heterogeneous associated data to a single tree file.",https://guangchuangyu.github.io/software/treeio,https://bio.tools/treeio
becas,0.167,"Web application, API and widget for biomedical concept identification. It helps researchers, healthcare professionals and developers in the identification of over 1,200,000 biomedical concepts in text and PubMed abstracts.",http://www.mybiosoftware.com/becas-biomedical-concept-annotation-tool-api-and-widget.html,https://bio.tools/becas
diversityreferences,0.167,"DiversityReferences (DWB-DR) is an application of Diversity Workbench (DWB). It might be installed as part of a DWB environment, but also as a stand-alone application, e. g., in a local installation. Each DWB module is devoted to a specific data domain. DR is focussed on the management of bibliographic data about each kind of scientific publications. The tool is handling literature annotations, abstracts, keywords and any kind of descriptors and publication object identifiers. DR is able to import and export literature citations and is used to organise documents and multimedia resources.",https://diversityworkbench.net/Portal/Support,https://bio.tools/diversityreferences
gominer ws,0.167,A tool for biological interpretation of microarray data.,https://www.biocatalogue.org/services/53,https://bio.tools/gominer ws
dbcan,0.167,dbCAN provides automated carbohydrate-active enzyme signature domain-based annotation for a set of proteins. Each carbohydrate-active enzyme has an assigned signature domain.,,https://bio.tools/dbcan
mg-rast,0.167,MG-RAST is a fully-automated service for annotating metagenome samples providing analysis tools for comparison,,https://bio.tools/mg-rast
cddapp,0.167,Cytoscape3 extension that supports the annotation of protein networks with information about domains and specific functional sites (features) from the National Center for Biotechnology Information (NCBI) Conserved Domain Database (CDD).,http://www.mybiosoftware.com/cddapp-1-1-integration-between-cytoscape-and-the-ncbi-conserved-domain-database.html,https://bio.tools/cddapp
mesophotic.org,0.167,"A repository for scientific information on mesophotic ecosystems.

Repository for information on mesophotic coral ecosystems.

Mesophotic.org: an information repository on mesophotic coral ecosystems.

Mesophotic.org is a curated repository for information on mesophotic coral ecosystems, with the aim to provide an independent, open-source platform for and by the ever-growing mesophotic research community.

Latest update: November 19, 2019.

You are currently looking at a beta release of the new website. Apologies for the inconvenience, but for now expect some (= lots of) bugs & mistakes!.

The following are instructions to download and manipulate the metadata from the ""Mesophotic.org"" repository in R (https: www.r-project.org ).

The following graphs summarize the metadata across the 689 scientific articles in this database that are validated and present original data from mesophotic depths.

Behind the science: Echinoderm diversity with new genera described in Rapa-Nui (Easter Island)",http://mesophotic.org/metadata,https://bio.tools/mesophotic.org
drosophila dnase i footprint database,0.167,Database of transcription factor binding sites created from systematic literature curation and genome annotation of DNase I footprints for Drosophila.,,https://bio.tools/drosophila dnase i footprint database
grasp,0.167,"GRASP is a gene annotation tool for metagenomic studies. GRASP assembles the fragmented short-peptides, which are called from the NGS reads, and aligns the assembled contigs to the query reference protein. GRASP achieves much higher sensitivity than BLASTP for gene annotation purpose.",http://www.mybiosoftware.com/grasp-0-0-4-guided-reference-based-assembly-of-short-peptides.html,https://bio.tools/grasp
dasir,0.167,R package for programmatic retrieval of information from DAS servers.,http://bioconductor.org/,https://bio.tools/dasir
ihop ws,0.167,"Text-mining methods used to identify information on specific genes and proteins, their physical interactions and regulatory relationships, their relevance in pathologies, and their interactions with chemical compounds. iHOP parses thousands of PubMed documents every day and collects information specific to thousands of different biological molecules.",https://www.biocatalogue.org/services/3107,https://bio.tools/ihop ws
est2assembly,0.167,"Platform is the only platform for standardising transcriptome projects: go from raw trace files to an annotated GBrowse interface driven by the Seqfeature database. It accepts both Sanger and 454 sequencing technology for a denovo assembly, annotation and data mining of EST data.",http://www.mybiosoftware.com/est2assembly-1-13-assembly-annotation-transcriptomes-species.html,https://bio.tools/est2assembly
cdfread,0.167,A simple reader of mass spectra in netCDF.,http://ms-utils.org,https://bio.tools/cdfread
polysearch2,0.167,"Significantly improved text-mining system for discovering associations between human diseases, genes, drugs, metabolites, toxins and more.",,https://bio.tools/polysearch2
isotopident,0.167,"Isotopident can estimate the theoretical isotopic distribution of a peptide or protein, a polynucleotide and a chemical compound from its composition (sequence of amino acids expressed in either 1-letter code, sequence of amino acids expressed in 3-letter code, sequence of nucleotides or its chemical formula). Isotopident can also compute its monoisotopic mass. and predict the most likely isotope combination and the exact mass of the given input.",,https://bio.tools/isotopident
decres,0.167,"DEep learning for identifying Cis-Regulatory ElementS is an extension of the Deep Learning Tutorials developped by LISA lab (www.deeplearning.net/tutorial/). Although it is developped for the identification of CREs, it can also be used for other applications.",,https://bio.tools/decres
pubrunner,0.167,"Framework which runs on a user defined schedule allowing you to download latest PubMed abstracts, run them through your favorite text mining tool and then uploads the results to public FTP",https://hub.docker.com/r/ncbihackathons/pubrunner/,https://bio.tools/pubrunner
enrichplot,0.167,Visualization methods for interpreting functional enrichment results obtained from ORA or GSEA analysis. All the visualization methods are developed based on 'ggplot2' graphics.,https://github.com/GuangchuangYu/enrichplot,https://bio.tools/enrichplot
iscan,0.167,"A package to identify insertion sequences and similar transposable elements, their inverted repeats, and the direct target repeats they generate in entire genomes.",,https://bio.tools/iscan
cagefightr,0.167,"It is an R/Bioconductor package for performing a wide range of common CAGE data analysis tasks. Core functionality includes: import of CAGE TSSs (CTSSs), tag (or unidirectional) clustering for TSS identification, bidirectional clustering for enhancer identification, annotation with transcript and gene models, calculation of TSS shapes and quantification of CAGE expression as expression matrices.",https://github.com/MalteThodberg/CAGEfightR,https://bio.tools/cagefightr
diana-mirgen,0.167,"Provides accurate cell-line-specific miRNA gene transcription start sites, coupled with genome-wide maps of transcription factor binding sites in order to unveil the mechanisms of miRNA transcription regulation. The database schema and web interface facilitates user interaction, provides advanced queries and innate connection with other DIANA resources for miRNA target identification and pathway analysis.",,https://bio.tools/diana-mirgen
ceu mass mediator,0.167,"Tool for looking up metabolites in different databases (Kegg, HMDB, LipidMaps, Metlin and MINE) from experimental masses obtained by mass spectrometry.",http://ceumass.eps.uspceu.es/mediator/index.xhtml,https://bio.tools/ceu mass mediator
rnaindel,0.167,"discovering somatic coding indels from tumor RNA-Seq data.

Somatic indel discovery tool for tumor RNA-Seq data.

RNAIndel calls coding indels from tumor RNA-Seq data and classifies them as somatic, germline, and artifactual. You can also use RNAIndel as a postprocessor to classify indels called by your own caller. RNAIndel supports GRCh38 and 37",,https://bio.tools/rnaindel
mamot,0.167,C++ program for HMM models,,https://bio.tools/mamot
mucor,0.167,"Software to aggregate variant information sourced from multiple VCF files (and some others, see below) into a variety of summary files with varying levels of detail and statistics.",http://www.mybiosoftware.com/mucor-mutation-aggregation-and-correlation.html,https://bio.tools/mucor
diana-microt v5.0,0.167,"Dedicated to miRNA target prediction and functional analysis and is widely used since 2009 from the scientific community. 
It predicts targets for miRNAs and provides functional information on the predicted miRNA:target gene interaction from various online biological resources. Updates enable the association of miRNAs to diseases through bibliographic analysis and connection to the UCSC genome browser. Updates include sophisticated workflows.",http://www.microrna.gr/webServer,https://bio.tools/diana-microt v5.0
openflu,0.167,The OpenFlu database (OpenFluDB) is part of a collaborative effort to share observations on the evolution of Influenza virus in both animals and humans. It contains genomic and protein sequences as well as epidemiological data from more than 25'000 isolates.,,https://bio.tools/openflu
modex,0.167,"A text mining system for extracting mode of regulation of transcription factor-gene regulatory interaction.

Deciphering the network of TF-target interactions with information on mode of regulation (activation vs. repression) is an important step toward understanding the regulatory pathways that underlie complex traits. There are many experimental, computational, and manually curated databases of TF-gene interactions. In particular, high-throughput ChIP-seq datasets provide a large-scale map or transcriptional regulatory interactions.

ModEx can be installed using the GitHub repository. All of the dependencies will be installed via setup.py script.

Saman Farahmand, Todd Riley, Kourosh Zarringhalam, ""ModEx: A text mining system for extracting mode of regulation of Transcription Factor-gene regulatory interaction"", BioRxiv, 2019",,https://bio.tools/modex
biocontext,0.167,"Text mining system for extracting information about molecular processes in biomedical articles.Using the data extracted by the software, it is possible to get an overview of a range of biomolecular processes relating to a particular gene or anatomical location.",http://www.mybiosoftware.com/biocontext-1-0-system-extraction-contextualization-biomedical-events.html,https://bio.tools/biocontext
